,name,pdf,lang,file
398,FERINE - Federación Estatal Asociaciones Inmigrantes Refugiados,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/FERINE-FederaciónEstatalAsociacionesInmigrantesRefugiados-spa.pdf,spa,pdf/vz/FERINE_-_Federación_Estatal_Asociaciones_Inmigrantes_Refugiados.pdf
60,C.C. Blanquita de Pérez,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Blanquita%20de%20Pérez-spa.pdf,spa,pdf/vz/C.C._Blanquita_de_Pérez.pdf
371,CSUTC - Pantaleon - Central Sindical Unica Trabajadores,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/CSUTC-Pantaleon-CentralSindicalUnicaTrabajadores-spa.pdf,spa,pdf/vz/CSUTC_-_Pantaleon_-_Central_Sindical_Unica_Trabajadores.pdf
68,C.C. Buenos Aires Nueva Esparta,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Buenos%20Aires%20Nueva%20Esparta-spa.pdf,spa,pdf/vz/C.C._Buenos_Aires_Nueva_Esparta.pdf
378,EFIP - Equipo Formación Información Publicaciones,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/EFIP-EquipoFormaciónInformaciónPublicaciones-spa.pdf,spa,pdf/vz/EFIP_-_Equipo_Formación_Información_Publicaciones.pdf
269,C.C. Santa Eduviges Sector 8,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Santa%20Eduviges%20Sector%208-spa.pdf,spa,pdf/vz/C.C._Santa_Eduviges_Sector_8.pdf
419,Fundación Reflejos,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/Fundación%20Reflejos-spa.pdf,spa,pdf/vz/Fundación_Reflejos.pdf
354,Collectif Education,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/Collectif%20Education-spa.pdf,spa,pdf/vz/Collectif_Education.pdf
567,VMTA - Vocera Mesas Técnicas Aguas,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/VMTA-VoceraMesasTécnicasAguas-spa.pdf,spa,pdf/vz/VMTA_-_Vocera_Mesas_Técnicas_Aguas.pdf
407,FOCPEDD - LP - Federación Org Comunitarias Discapacidad,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/FOCPEDD-LP-FederaciónOrgComunitariasDiscapacidad-spa.pdf,spa,pdf/vz/FOCPEDD_-_LP_-_Federación_Org_Comunitarias_Discapacidad.pdf
524,Sala Batalla Arichuna,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/Sala%20Batalla%20Arichuna-spa.pdf,spa,pdf/vz/Sala_Batalla_Arichuna.pdf
552,UE - Universidad Extremadura,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/UE-UniversidadExtremadura-spa.pdf,spa,pdf/vz/UE_-_Universidad_Extremadura.pdf
109,C.C. El Castaño,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Castaño-spa.pdf,spa,pdf/vz/C.C._El_Castaño.pdf
173,C.C. La Muchachera,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20La%20Muchachera-spa.pdf,spa,pdf/vz/C.C._La_Muchachera.pdf
115,C.C. El Hatico,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20El%20Hatico-spa.pdf,spa,pdf/vz/C.C._El_Hatico.pdf
203,C.C. Los Próceres de Torbes,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Los%20Próceres%20de%20Torbes-spa.pdf,spa,pdf/vz/C.C._Los_Próceres_de_Torbes.pdf
36,Base de Paz,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/Base%20de%20Paz-spa.pdf,spa,pdf/vz/Base_de_Paz.pdf
63,C.C. Bolívar Guabina I,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Bolívar%20Guabina%20I-spa.pdf,spa,pdf/vz/C.C._Bolívar_Guabina_I.pdf
475,Kuru Kururu - Farmers Association,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/Kuru%20Kururu-FarmersAssociation-eng.pdf,eng,pdf/vz/Kuru_Kururu_-_Farmers_Association.pdf
95,C.C. Cruz de Mayo,http://lib.ohchr.org/HRBodies/UPR/Documents/session12/VE/C.C.%20Cruz%20de%20Mayo-spa.pdf,spa,pdf/vz/C.C._Cruz_de_Mayo.pdf
